species_id,total_records,usa_records,dated_any,dated_full,post_2010,valid_coords,uncertainty_le_2km,gbif_issue_flagged,captive_flagged,has_media,basis_HumanObservation,basis_Observation,basis_MachineObservation,basis_PreservedSpecimen,basis_FossilSpecimen,basis_Other,pct_dated_any,pct_dated_full,pct_post_2010,pct_uncertainty_le_2km,pct_captive_flagged
Echis_leucogaster,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Echis_ocellatus,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Echis_omanensis,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Echis_pyramidum,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Eristicophis_macmahoni,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Garthius_chaseni,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Gloydius_blomhoffii,83,2,2,2,0,2,0,0,0,0,0,0,0,2,0,0,1.0,1.0,0.0,0.0,0.0
Gloydius_brevicaudus,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Gloydius_caraganus,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Gloydius_caucasicus,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Gloydius_halys,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Gloydius_himalayanus,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Gloydius_intermedius,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Gloydius_rickmersi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Gloydius_shedaoensis,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Gloydius_strauchi,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Gloydius_tsushimaensis,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Gloydius_ussuriensis,2614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Hypnale_hypnale,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Hypnale_nepa,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Hypnale_zara,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Lachesis_acrochorda,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Lachesis_melanocephala,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Lachesis_muta,1321,4,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0.0,0.0,0.0,0.0,1.0
Lachesis_stenophrys,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Macrovipera_lebetinus,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Macrovipera_schweizeri,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Metlapilcoatlus_indomitus,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Metlapilcoatlus_mexicanus,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Metlapilcoatlus_nummifer,115,81,10,10,7,81,28,14,0,0,1,0,0,25,0,55,0.1235,0.1235,0.0864,0.3457,0.0
Metlapilcoatlus_occiduus,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Metlapilcoatlus_olmec,93,55,6,6,6,55,24,21,0,0,0,0,0,23,0,32,0.1091,0.1091,0.1091,0.4364,0.0
Mixcoatlus_barbouri,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Mixcoatlus_browni,42,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0
Mixcoatlus_melanurus,70,53,4,4,3,53,12,4,0,0,10,0,0,9,0,34,0.0755,0.0755,0.0566,0.2264,0.0
Montatheris_hindii,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Montivipera_albizona,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Montivipera_bornmuelleri,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Montivipera_bulgardaghica,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Montivipera_kuhrangica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Montivipera_latifii,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Montivipera_raddei,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Montivipera_wagneri,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Montivipera_xanthina,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ophryacus_smaragdinus,29,29,3,3,1,29,6,3,0,0,6,0,0,7,0,16,0.1034,0.1034,0.0345,0.2069,0.0
Ophryacus_sphenophrys,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ophryacus_undulatus,116,19,3,3,0,19,7,2,0,0,1,0,0,6,0,12,0.1579,0.1579,0.0,0.3684,0.0
Ovophis_convictus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ovophis_makazayazaya,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ovophis_monticola,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ovophis_okinavensis,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ovophis_tonkinensis,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Porthidium_arcosae,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Porthidium_dunni,382,4,0,0,0,4,4,3,0,0,0,0,0,4,0,0,0.0,0.0,0.0,1.0,0.0
Porthidium_hespere,26,23,2,2,0,22,5,10,0,0,0,1,0,10,0,12,0.087,0.087,0.0,0.2174,0.0
Porthidium_lansbergii,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Porthidium_nasutum,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Porthidium_ophryomegas,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Porthidium_porrasi,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Porthidium_volcanicum,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Porthidium_yucatanicum,150,146,3,3,2,146,9,8,0,0,25,0,0,56,0,65,0.0205,0.0205,0.0137,0.0616,0.0
Proatheris_superciliaris,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Protobothrops_cornutus,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Protobothrops_elegans,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Protobothrops_flavoviridis,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Protobothrops_jerdonii,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Protobothrops_kaulbacki,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Protobothrops_mangshanensis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Protobothrops_mucrosquamatus,1673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Protobothrops_sieversorum,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Protobothrops_tokarensis,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Protobothrops_xiangchengensis,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Pseudocerastes_fieldi,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Pseudocerastes_persicus,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Pseudocerastes_urarachnoides,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Sistrurus_catenatus,3337,3290,233,233,106,3135,299,12,2,0,502,787,0,1436,0,565,0.0708,0.0708,0.0322,0.0909,0.0006
Sistrurus_miliarius,6681,6680,357,357,152,5741,2363,83,5,0,933,1651,21,3040,0,1035,0.0534,0.0534,0.0228,0.3537,0.0007
Sistrurus_tergeminus,3376,3376,340,340,170,3164,566,1,3,0,324,567,0,1972,0,513,0.1007,0.1007,0.0504,0.1677,0.0009
Trimeresurus_albolabris,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Trimeresurus_andalasensis,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Trimeresurus_andersonii,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Trimeresurus_borneensis,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Trimeresurus_brongersmai,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Trimeresurus_cantori,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Trimeresurus_cardamomensis,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Trimeresurus_erythrurus,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Trimeresurus_flavomaculatus,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Trimeresurus_gracilis,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Trimeresurus_gramineus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Trimeresurus_gumprechti,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Trimeresurus_gunaleni,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Trimeresurus_hageni,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Trimeresurus_honsonensis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Trimeresurus_insularis,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
